index,name,dialogue
1,,(딸랑)
2,하나,어서 오세요!
3,하나,(두 번째 방문 손님이다!)
4,할아버지,...안녕하세요.
5,할아버지,흠...
6,할아버지,...으음...
7,하나,(쑥스러우신 건가? 뭔가 망설이시는 것 같네.)
8,하나,주문 도와드릴까요?
9,할아버지,음... 그게...
10,할아버지,내가 디저트를 잘 몰라서...
11,하나,"괜찮아요! 일단 원하시는 부분을 말씀해주시면, 제가 딱 맞는 디저트로 만들어드릴게요."
12,할아버지,음... 그러면...
13,할아버지,"고구마랑 귤, 초콜릿이 들어간 디저트도 있나요...?"
14,하나,"고구마랑 귤, 초콜릿이요?"
15,하나,(좀 생소한 조합인데.)
16,하나,혹시 어떤 용도로 디저트가 필요하신 건가요?
17,할아버지,제가 잘못한 사람들에게 사과를 하려고요...
18,할아버지,그동안 많이 소홀하고 매정했던 것 같아서... 이제서야 후회되네요.
19,하나,"아, 그럼 혹시 고구마랑 귤, 초콜릿이..."
20,할아버지,"예, 우리 아이들이 좋아하는 것들이에요."
21,할아버지,아내와 사별하고 나니... 곧장 아이들과 사이가 멀어지더군요.
22,할아버지,애들 교육을 아내에게만 맡기고 나몰라라 한 내 탓인 것 같아...
23,할아버지,아이들이 좋아하는 디저트를 함께 먹으며 사과하고 싶었어요...
24,하나,아아... 그러시군요.
25,하나,(자녀분들과 화해하고 싶으신 거구나.)
26,하나,"(고구마랑 귤, 초콜릿이라...)"
27,하나,으음...
28,할아버지,혹시 안 될까요...?
29,하나,"앗, 아니에요! 해드려야죠!"
30,하나,"(아, 나도 모르게 반사적으로 대답해 버렸네...)"
31,할아버지,고마워요... 고마워요...!
32,하나,(하지만 저렇게 간절해보이시는 걸...)
33,하나,"네, 걱정 마세요. 제가 꼭 해드릴게요!"
34,하나,2일 뒤에 찾으러 오세요!
35,할아버지,"고마워요, 정말 고마워요..."
36,,할아버지는 내게 연신 인사하시며 가게를 떠나셨다.
37,하나,함께 먹을 수 있는 디저트라면... 양이 꽤 되어야겠지?
38,하나,"고구마, 귤, 초콜릿이 들어간 양 많은 디저트라..."
39,하나,"...어쩌면, 이 세 가지를 꼭 하나에 섞을 필요는 없을지도?"
,,
1001,할아버지,안녕하세요.
1002,할아버지,"고구마랑 귤, 초콜릿이 들어간 디저트... 다 되었나요?"
,,
2001,할아버지,오오... 이거라면 아이들도 분명 좋아할 거에요...!
2002,할아버지,"정말 고맙습니다, 사장님..."
,,
3001,할아버지,아... 이거군요.
3002,할아버지,음... 내가 너무 어려운 주문을 했나봐요... 미안합니다.
,,
4001,할아버지,완성이... 안 되었다고요?
4002,할아버지,...아이들과 내일 만나기로 했는데... 아무 것도 준비가 되어 있지 않다니...
4003,할아버지,분명 아이들이 크게 실망해서 저와 더 멀어지고 말 거에요...
4004,할아버지,차라리 주문을 받지 말지 그랬어요...
