index,menu,price,base,
1,오리지널 마들렌,2000,1,
2,초코 마들렌,2100,1,
3,레몬 마들렌,2100,1,
4,오리지널 쿠키,1700,2,
5,초코 쿠키,1800,2,
6,아몬드 쿠키,1800,2,
7,오리지널 머핀,2500,3,
8,초코 오레오 머핀,2600,3,
9,블루베리 머핀,2600,3,
10,오리지널 파운드케이크,3000,4,
11,초코 파운드케이크,3100,4,
12,레몬 파운드케이크,3100,4,
13,바나나 파운드케이크,3100,4,
14,바스크 치즈케이크,5000,5,
15,오리지널 휘낭시에,2200,6,
16,초코 휘낭시에,2300,6,
17,아몬드 휘낭시에,2300,6,
18,오리지널 스콘,2500,7,
19,초코 스콘,2600,7,
20,카라멜 스콘,2600,7,
21,오리지널 타르트,0,8,
22,딸기 타르트,4000,8,
23,레몬 타르트,4000,8,
24,블루베리 타르트,4000,8,
25,우유 마카롱,2300,9,
26,바나나 마카롱,2300,9,
27,딸기 마카롱,2300,9,
28,생크림 케이크,5000,10,
29,초코 케이크,5000,10,
30,딸기 케이크,5000,10,
31,오리지널 도넛,0,11,
32,블루베리 도넛,4000,11,
33,카라멜 도넛,4000,11,
34,초코 도넛,4000,11,
101,핑크 딸기 머핀,3600,,special
102,리얼 초코 머핀,3600,,special
103,핑크 딸기 파운드 케이크,4100,,special
104,리얼 초코 파운드 케이크,4100,,special / 203
201,꿀고구마 파운드 케이크,4100,,special
202,달콤 귤 파운드 케이크,4100,,special
203,리얼 초코 파운드 케이크,4100,,special / 104
204,달콤 귤 타르트,5000,,special
301,블루 레몬 케이크,6000,,special
401,뭔가 단단히 잘못된 요리,0,,special SHIT
